Rank,playerId,playerImageId,Player,playerFullName,pos,teamImageId,teamName,teamShortName,teamAbbrevName,newestTeamId,newestTeam,newestTeamColor,newestLeagueId,newestLeague,optaPersonId,firstName,lastName,Position,GM,Min,Age,GS,MinIncET,KMHSPEED,OutPossHighDecels,OutPossHighAccels,OutPossDistSprint,OutPossDistHSRun,DistanceRunOutPoss,InPossHighDecels,InPossHighAccels,InPossDistSprint,InPossDistHSRun,DistanceRunInPoss,TopSpeed,ScndHalfHighDecels,ScndHalfHighAccels,ScndHalfDistSprint,ScndHalfDistHSRun,DistanceRunScndHalf,FirstHalfHighDecels,FirstHalfHighAccels,FirstHalfDistSprint,FirstHalfDistHSRun,DistanceRunFirstHalf
1,3y7h2e79gvzrqor9gg854dl91,263520,Miguel Silva,Miguel Silva,Goalkeeper,469,Beitar Jerusalem,Beitar,BJM,cx0rucvdzkg1yd00vrueu2u7,Beitar Jerusalem,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,219469,João Miguel,Macedo Silva,Goalkeeper,1,90,30,1,101,23.22,0,0,0.0,2.1,3326.0,0,1,10.5,21.7,2096.1,6.45,0,0,0.0,0.0,2712.4,0,1,10.5,23.8,2717.5
1,jx4qgvdq5vsa0hvgqh73mf2t,482049,C. Martínez,Cristian Martínez,Central Midfielder,2788,Ironi Kiryat Shmona,Kiryat Shmona,IKS,e2ryr6aied781hzc7hx9yntk8,Ironi Kiryat Shmona,#D3D3D3,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,226637,Cristian,Martínez,Central Midfielder,1,90,28,1,95,27.94,13,8,61.6,403.0,6478.6,10,5,89.5,235.1,4630.5,7.76,11,7,78.4,318.4,5627.9,13,8,72.9,320.7,5498.0
1,2ffmtapkhzor2x5a4cybj3w7p,179847,D. Peretz,Dor Peretz,Centre Attacking Midfielder,1007,Maccabi Tel Aviv,Maccabi TA,MTA,ealjallt13942jb2q2hk4buxa,Maccabi Tel Aviv,#FFFF00,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,212313,Dor,Peretz,Centre Attacking Midfielder,1,90,30,1,96,30.16,6,1,86.6,276.7,4821.1,13,12,243.6,352.4,5221.1,8.38,6,8,187.6,336.4,4903.1,13,6,142.9,293.7,5151.9
1,8nbsd8nw6diupw0tsjx146x1x,218380,Sambinha,Sambinha,Central Defender,18909,Ironi Tiberias,I Tiberias,ITB,8k3kbfzfqi2senhosaaimvgjm,Ironi Tiberias,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,221990,Mamadu Samba,Candé,Central Defender,1,15,32,1,13,24.95,3,1,5.4,31.0,874.0,0,2,0.0,6.1,489.9,6.93,0,0,0.0,0.0,0.0,3,3,5.4,37.1,1365.5
1,bnclh7nvu75morjmkv1dskzjd,329667,M. Usman,Mohammed Usman,Central Midfielder,18909,Ironi Tiberias,I Tiberias,ITB,8k3kbfzfqi2senhosaaimvgjm,Ironi Tiberias,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,230193,Mohammed,Usman,Central Midfielder,1,45,31,1,50,26.31,0,0,20.0,123.4,3542.4,2,3,23.4,128.8,2090.1,7.31,0,0,0.0,0.0,0.0,2,3,43.4,252.5,5638.4
1,8f5suoft1lt9thk1arm4u8max,460709,A. Mendy,Arial Mendy,Left Back,469,Beitar Jerusalem,Beitar,BJM,cx0rucvdzkg1yd00vrueu2u7,Beitar Jerusalem,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,222853,Arial,Mendy,Left Back,1,90,30,1,101,26.32,12,5,71.9,347.8,7088.6,4,3,29.8,58.3,3203.1,7.31,7,5,41.6,181.4,5234.3,9,3,60.2,225.4,5071.3
1,9cayi832oi3j02gimpa6995g5,229961,D. Keltjens,David Keltjens,Left Centre Back,18909,Ironi Tiberias,I Tiberias,ITB,8k3kbfzfqi2senhosaaimvgjm,Ironi Tiberias,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,154080,David,Keltjens,Left Centre Back,1,73,30,1,75,23.81,2,3,8.6,131.3,4697.2,2,2,2.5,31.6,2740.2,6.61,0,0,0.0,43.9,2539.2,4,5,11.1,118.9,4906.1
1,lvbnk881mde943xx8nrr1nmd,220179,E. Ansah,Eugene Ansah,Left Attacking Midfielder,1942,Ashdod,Ashdod,ASH,3xbrfd77vj0zi8vbrnwqz54z,Ashdod,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,174283,Eugene,Ansah,Left Attacking Midfielder,1,78,30,1,82,30.83,9,1,27.8,111.4,3277.0,18,10,245.0,337.6,4780.0,8.56,9,1,131.7,137.2,2839.7,18,10,141.8,312.5,5229.3
1,6dxqoaegil8ddaevkqp16vhlh,124924,O. Dgani,Orel Dgani,Right Centre Back,2792,Hapoel Petah Tikva,H Petah Tikva,HPT,1f4f869ya31jh0biwiipqxpj2,Hapoel Petah Tikva,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,74369,Orel,Dgani,Right Centre Back,1,90,36,1,95,28.05,7,6,48.8,312.9,4293.9,3,4,31.2,84.8,4977.8,7.79,6,9,59.1,200.3,4956.1,4,4,21.1,198.0,4330.6
1,bmmiskgiwt26oxdl3v7ifghqt,208651,N. Antman,Niv Antman,Goalkeeper,3183,Hapoel Haifa,H Haifa,HHA,7cd60mgte8skipavum0o6ecyo,Hapoel Haifa,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,104649,Niv,Antman,Goalkeeper,1,90,33,1,102,15.28,0,0,0.0,0.0,2642.3,0,0,0.0,0.0,2786.8,4.24,0,0,0.0,0.0,2679.4,0,0,0.0,0.0,2755.3
